TRINITY_DN5444_c0_g2_i1.p1	K00006
TRINITY_DN288_c16_g11_i1.p1	K01951
TRINITY_DN333_c44_g1_i1.p1	K01951
TRINITY_DN1475_c0_g1_i10.p3	K01952
TRINITY_DN1475_c0_g1_i37.p3	K01952
TRINITY_DN55491_c0_g1_i52.p4	K01952
TRINITY_DN55491_c0_g1_i80.p5	K01952
TRINITY_DN14143_c0_g1_i1.p1	K01953
TRINITY_DN29_c1_g2_i1.p1	K01955
TRINITY_DN1127_c3_g1_i8.p1	K01956
TRINITY_DN4228_c0_g2_i1.p4	K01956
TRINITY_DN2063_c0_g1_i14.p1	K01958
TRINITY_DN2063_c0_g1_i5.p1	K01958
TRINITY_DN17541_c1_g2_i4.p9	K01961
TRINITY_DN2592_c0_g2_i3.p35	K01962
TRINITY_DN255_c21_g1_i1.p1	K01963
TRINITY_DN2242_c0_g1_i1.p2	K01965
TRINITY_DN2592_c0_g2_i2.p5	K01966
TRINITY_DN618_c0_g1_i1.p6	K01969
TRINITY_DN618_c0_g1_i2.p6	K01969
TRINITY_DN618_c0_g1_i3.p2	K01969
TRINITY_DN618_c0_g1_i5.p2	K01969
TRINITY_DN364_c8_g1_i1.p1	K02045
TRINITY_DN528_c5_g1_i1.p4	K02045
TRINITY_DN528_c5_g1_i2.p1	K02045
TRINITY_DN63_c0_g5_i1.p5	K02083
TRINITY_DN277_c0_g2_i1.p1	K02111
TRINITY_DN255_c18_g1_i1.p1	K02112
TRINITY_DN482_c0_g1_i1.p3	K02115
TRINITY_DN3261_c0_g1_i1.p1	K02126
TRINITY_DN128_c8_g1_i1.p1	K02132
TRINITY_DN50_c8_g1_i1.p1	K02132
TRINITY_DN316_c9_g1_i1.p5	K02133
TRINITY_DN569_c6_g1_i2.p5	K02134
TRINITY_DN296_c0_g1_i22.p2	K02145
TRINITY_DN296_c0_g1_i26.p2	K02145
TRINITY_DN525_c0_g1_i15.p18	K02210
TRINITY_DN724_c0_g3_i1.p7	K02210
TRINITY_DN724_c0_g3_i2.p5	K02210
TRINITY_DN434_c2_g1_i6.p2	K02212
TRINITY_DN710_c6_g3_i1.p1	K02256
TRINITY_DN299_c1_g1_i2.p4	K02257
TRINITY_DN299_c1_g1_i5.p4	K02257
TRINITY_DN201_c8_g2_i1.p1	K02261
TRINITY_DN42121_c0_g1_i1.p2	K02261
TRINITY_DN42121_c0_g1_i2.p1	K02261
TRINITY_DN467_c0_g1_i8.p2	K02261
TRINITY_DN401_c2_g1_i2.p1	K02262
TRINITY_DN22_c116_g1_i1.p2	K02303
TRINITY_DN228_c0_g2_i2.p5	K02324
TRINITY_DN228_c0_g2_i5.p6	K02324
TRINITY_DN2113_c0_g1_i13.p42	K02327
TRINITY_DN2113_c0_g1_i14.p41	K02327
TRINITY_DN2113_c0_g1_i14.p1	K02327
TRINITY_DN2113_c0_g1_i29.p17	K02327
TRINITY_DN2113_c0_g1_i4.p41	K02327
TRINITY_DN1026_c0_g2_i2.p2	K02355
TRINITY_DN1026_c0_g2_i3.p2	K02355
TRINITY_DN324_c0_g1_i1.p20	K02357
TRINITY_DN255_c12_g1_i1.p2	K02358
TRINITY_DN255_c12_g1_i2.p2	K02358
TRINITY_DN2707_c1_g1_i1.p1	K02358
TRINITY_DN1787_c0_g1_i1.p4	K02377
TRINITY_DN1787_c0_g1_i11.p3	K02377
TRINITY_DN1787_c0_g1_i5.p4	K02377
TRINITY_DN10580_c0_g3_i3.p2	K02433
TRINITY_DN45_c0_g7_i1.p5	K02433
TRINITY_DN45_c0_g7_i1.p6	K02434
TRINITY_DN316_c2_g2_i1.p23	K02437
TRINITY_DN37_c3_g1_i2.p9	K02437
TRINITY_DN4039_c0_g1_i1.p3	K02437
TRINITY_DN3482_c0_g1_i1.p1	K02469
TRINITY_DN10979_c0_g1_i1.p2	K02470
TRINITY_DN2634_c1_g1_i1.p10	K02470
TRINITY_DN3082_c0_g1_i1.p1	K02470
TRINITY_DN3082_c0_g1_i2.p1	K02470
TRINITY_DN45_c0_g2_i2.p5	K02470
TRINITY_DN847_c0_g1_i11.p2	K02492
TRINITY_DN2627_c0_g3_i2.p1	K02519
TRINITY_DN2627_c0_g3_i3.p1	K02519
TRINITY_DN525_c0_g1_i43.p11	K02540
TRINITY_DN1436_c0_g1_i2.p5	K02542
TRINITY_DN1436_c0_g1_i5.p7	K02542
TRINITY_DN981_c0_g2_i21.p1	K02575
TRINITY_DN79_c4_g4_i1.p2	K02634
TRINITY_DN227_c2_g4_i1.p2	K02635
TRINITY_DN1500_c0_g1_i6.p14	K02641
TRINITY_DN255_c14_g1_i1.p1	K02689
TRINITY_DN7_c5_g2_i3.p1	K02690
TRINITY_DN7_c5_g2_i4.p1	K02690
TRINITY_DN255_c12_g6_i1.p1	K02703
TRINITY_DN47_c2_g5_i1.p1	K02704
TRINITY_DN255_c9_g1_i1.p1	K02705
TRINITY_DN255_c9_g1_i1.p2	K02706
TRINITY_DN154_c1_g1_i1.p2	K02716
TRINITY_DN1598_c1_g1_i1.p10	K02725
TRINITY_DN1963_c0_g1_i44.p7	K02728
TRINITY_DN72227_c0_g1_i1.p17	K02730
TRINITY_DN375_c2_g4_i1.p2	K02731
TRINITY_DN1685_c0_g1_i4.p1	K02738
TRINITY_DN1685_c0_g1_i6.p1	K02738
TRINITY_DN506_c3_g2_i3.p2	K02739
TRINITY_DN509_c6_g2_i1.p1	K02835
TRINITY_DN551_c0_g3_i1.p7	K02836
TRINITY_DN1_c18_g2_i1.p3	K02863
TRINITY_DN8_c0_g5_i1.p8	K02863
TRINITY_DN1156_c0_g1_i12.p7	K02865
TRINITY_DN22353_c0_g1_i2.p2	K02866
TRINITY_DN142_c1_g1_i31.p3	K02868
TRINITY_DN29_c1_g6_i1.p9	K02871
TRINITY_DN607_c0_g6_i2.p14	K02871
TRINITY_DN62_c0_g1_i1.p8	K02872
TRINITY_DN754_c2_g1_i4.p3	K02873
TRINITY_DN929_c0_g4_i1.p9	K02874
TRINITY_DN70_c0_g1_i10.p1	K02877
TRINITY_DN70_c0_g1_i18.p1	K02877
TRINITY_DN8_c0_g4_i1.p46	K02878
TRINITY_DN929_c0_g4_i1.p8	K02878
TRINITY_DN8_c0_g4_i1.p48	K02879
TRINITY_DN1105_c1_g1_i21.p11	K02880
TRINITY_DN1593_c0_g2_i6.p5	K02880
TRINITY_DN8_c0_g4_i1.p61	K02881
TRINITY_DN698_c1_g1_i3.p2	K02882
TRINITY_DN626_c2_g1_i7.p2	K02883
TRINITY_DN555_c3_g1_i1.p15	K02885
TRINITY_DN555_c3_g1_i7.p2	K02885
TRINITY_DN8_c0_g4_i1.p22	K02886
TRINITY_DN929_c0_g4_i1.p1	K02886
TRINITY_DN881_c5_g1_i13.p4	K02889
TRINITY_DN881_c5_g1_i3.p7	K02889
TRINITY_DN732_c0_g1_i1.p13	K02891
TRINITY_DN732_c0_g1_i13.p3	K02891
TRINITY_DN370_c0_g1_i2.p1	K02893
TRINITY_DN1474_c0_g1_i5.p5	K02894
TRINITY_DN203_c6_g1_i1.p2	K02898
TRINITY_DN8_c0_g1_i1.p21	K02906
TRINITY_DN8_c0_g1_i2.p7	K02906
TRINITY_DN8_c0_g1_i4.p7	K02906
TRINITY_DN8_c0_g1_i5.p21	K02906
TRINITY_DN8_c0_g4_i1.p25	K02906
TRINITY_DN1208_c4_g2_i1.p4	K02908
TRINITY_DN2119_c0_g3_i3.p17	K02912
TRINITY_DN583_c4_g1_i1.p6	K02915
TRINITY_DN583_c4_g1_i2.p12	K02915
TRINITY_DN1268_c0_g1_i4.p12	K02917
TRINITY_DN1027_c1_g1_i2.p5	K02918
TRINITY_DN741_c0_g1_i7.p37	K02920
TRINITY_DN741_c0_g2_i4.p43	K02920
TRINITY_DN1955_c0_g2_i5.p1	K02925
TRINITY_DN8_c0_g4_i1.p26	K02926
TRINITY_DN982_c0_g1_i12.p1	K02926
TRINITY_DN2368_c0_g1_i1.p3	K02929
TRINITY_DN181_c2_g1_i1.p2	K02930
TRINITY_DN1388_c0_g1_i2.p5	K02932
TRINITY_DN1388_c0_g1_i3.p1	K02932
TRINITY_DN8_c0_g4_i1.p36	K02933
TRINITY_DN9954_c0_g1_i2.p9	K02934
TRINITY_DN477_c0_g1_i4.p2	K02936
TRINITY_DN1837_c0_g1_i83.p3	K02937
TRINITY_DN395_c2_g1_i1.p2	K02938
TRINITY_DN395_c2_g1_i4.p1	K02938
TRINITY_DN1405_c2_g1_i13.p19	K02940
TRINITY_DN1882_c0_g1_i11.p19	K02940
TRINITY_DN516_c5_g1_i2.p2	K02949
TRINITY_DN516_c5_g1_i4.p2	K02949
TRINITY_DN929_c9_g1_i1.p2	K02950
TRINITY_DN929_c9_g2_i1.p2	K02950
TRINITY_DN1944_c1_g1_i37.p35	K02952
TRINITY_DN2042_c0_g3_i1.p2	K02953
TRINITY_DN929_c4_g1_i1.p3	K02955
TRINITY_DN501_c0_g2_i1.p3	K02958
TRINITY_DN399_c2_g1_i4.p3	K02960
TRINITY_DN8_c0_g4_i1.p67	K02961
TRINITY_DN2800_c0_g1_i2.p6	K02962
TRINITY_DN502_c1_g1_i3.p5	K02964
TRINITY_DN21_c5_g2_i2.p10	K02966
TRINITY_DN21_c5_g2_i3.p11	K02966
TRINITY_DN929_c0_g4_i1.p4	K02967
TRINITY_DN929_c0_g4_i2.p1	K02967
TRINITY_DN407_c1_g1_i9.p1	K02969
TRINITY_DN445_c5_g1_i3.p2	K02973
TRINITY_DN710_c3_g1_i9.p2	K02976
TRINITY_DN290_c0_g5_i1.p1	K02977
TRINITY_DN1562_c0_g1_i6.p5	K02981
TRINITY_DN1313_c0_g5_i1.p1	K02982
TRINITY_DN1203_c0_g1_i33.p4	K02984
TRINITY_DN1203_c0_g1_i54.p1	K02984
TRINITY_DN2320_c0_g1_i11.p6	K02985
TRINITY_DN1030_c0_g1_i2.p2	K02987
TRINITY_DN255_c7_g1_i2.p17	K02988
TRINITY_DN255_c7_g1_i4.p22	K02988
TRINITY_DN36462_c0_g1_i2.p1	K02988
TRINITY_DN2138_c0_g1_i11.p15	K02989
TRINITY_DN2138_c0_g1_i47.p36	K02989
TRINITY_DN2138_c0_g1_i54.p15	K02989
TRINITY_DN1166_c6_g1_i5.p6	K02991
TRINITY_DN784_c0_g1_i3.p2	K02991
TRINITY_DN929_c9_g1_i1.p1	K02992
TRINITY_DN929_c9_g2_i1.p1	K02992
TRINITY_DN453_c4_g1_i1.p2	K02993
TRINITY_DN3649_c0_g3_i1.p16	K02994
TRINITY_DN3649_c0_g3_i3.p13	K02994
TRINITY_DN487_c0_g1_i11.p3	K02995
TRINITY_DN29_c1_g6_i1.p8	K02996
TRINITY_DN929_c1_g1_i1.p2	K02996
TRINITY_DN1853_c0_g2_i5.p9	K02998
TRINITY_DN315_c0_g1_i16.p1	K03006
TRINITY_DN315_c0_g1_i19.p1	K03006
TRINITY_DN315_c0_g1_i8.p1	K03006
TRINITY_DN228_c5_g1_i1.p9	K03010
TRINITY_DN228_c5_g1_i120.p20	K03010
TRINITY_DN228_c5_g1_i18.p10	K03010
TRINITY_DN228_c5_g1_i34.p5	K03010
TRINITY_DN228_c5_g1_i67.p9	K03010
TRINITY_DN228_c5_g1_i96.p19	K03010
TRINITY_DN1508_c0_g1_i10.p38	K03013
TRINITY_DN1508_c0_g1_i11.p38	K03013
TRINITY_DN1508_c0_g1_i13.p38	K03013
TRINITY_DN1508_c0_g1_i4.p36	K03013
TRINITY_DN16071_c0_g1_i1.p2	K03021
TRINITY_DN338_c0_g1_i14.p2	K03032
TRINITY_DN47_c2_g6_i1.p1	K03043
TRINITY_DN9904_c0_g2_i1.p1	K03043
TRINITY_DN1_c18_g1_i1.p2	K03046
TRINITY_DN255_c12_g3_i1.p1	K03046
TRINITY_DN3787_c0_g1_i1.p1	K03046
TRINITY_DN79_c4_g6_i1.p1	K03046
TRINITY_DN9904_c0_g3_i1.p2	K03046
TRINITY_DN443_c0_g1_i11.p2	K03063
TRINITY_DN1569_c0_g1_i5.p1	K03070
TRINITY_DN3692_c0_g1_i1.p4	K03070
TRINITY_DN3692_c0_g1_i3.p2	K03070
TRINITY_DN3692_c0_g2_i2.p4	K03070
TRINITY_DN868_c0_g1_i11.p2	K03070
TRINITY_DN868_c0_g1_i13.p2	K03070
TRINITY_DN868_c0_g1_i17.p2	K03070
TRINITY_DN868_c0_g1_i9.p2	K03070
TRINITY_DN1395_c1_g1_i5.p2	K03106
TRINITY_DN1395_c1_g1_i7.p5	K03106
TRINITY_DN311_c14_g3_i1.p1	K03106
TRINITY_DN3809_c0_g4_i1.p3	K03110
TRINITY_DN199_c5_g1_i1.p6	K03130
TRINITY_DN53_c7_g2_i1.p6	K03144
TRINITY_DN886_c0_g1_i3.p4	K03146
TRINITY_DN1927_c2_g1_i3.p6	K03147
TRINITY_DN2506_c0_g1_i2.p26	K03177
TRINITY_DN2506_c0_g1_i3.p12	K03177
TRINITY_DN2506_c0_g1_i4.p20	K03177
TRINITY_DN2506_c0_g1_i5.p1	K03177
TRINITY_DN2506_c0_g1_i7.p22	K03177
TRINITY_DN267_c4_g2_i1.p3	K03177
TRINITY_DN780_c4_g1_i1.p4	K03231
TRINITY_DN780_c4_g1_i2.p4	K03231
TRINITY_DN780_c4_g1_i7.p4	K03231
TRINITY_DN1721_c0_g1_i17.p3	K03234
TRINITY_DN1180_c1_g1_i2.p1	K03235
TRINITY_DN1180_c1_g1_i7.p1	K03235
TRINITY_DN122_c3_g1_i21.p1	K03236
TRINITY_DN122_c3_g1_i4.p6	K03236
TRINITY_DN3017_c0_g1_i12.p1	K03243
TRINITY_DN1590_c0_g1_i13.p3	K03251
TRINITY_DN387_c1_g1_i10.p1	K03252
TRINITY_DN387_c1_g1_i18.p1	K03252
TRINITY_DN722_c1_g2_i2.p1	K03257
TRINITY_DN3375_c0_g1_i1.p3	K03262
TRINITY_DN446_c1_g1_i5.p5	K03263
TRINITY_DN983_c0_g2_i1.p1	K03265
TRINITY_DN414_c0_g1_i53.p4	K03283
TRINITY_DN1517_c1_g1_i16.p4	K03301
TRINITY_DN2019_c0_g1_i22.p4	K03320
TRINITY_DN111_c26_g1_i1.p2	K03341
TRINITY_DN2201_c1_g1_i21.p2	K03348
TRINITY_DN19030_c0_g1_i2.p2	K03363
TRINITY_DN1523_c0_g1_i11.p10	K03403
TRINITY_DN1523_c0_g1_i80.p2	K03403
TRINITY_DN1628_c1_g1_i4.p4	K03403
TRINITY_DN89_c9_g2_i1.p1	K03403
TRINITY_DN2020_c0_g1_i4.p4	K03404
TRINITY_DN4158_c0_g1_i4.p5	K03404
TRINITY_DN79_c4_g4_i1.p1	K03405
TRINITY_DN73_c5_g1_i7.p2	K03428
TRINITY_DN365_c4_g2_i1.p2	K03457
TRINITY_DN2653_c0_g6_i1.p3	K03470
TRINITY_DN3274_c0_g2_i1.p1	K03495
TRINITY_DN7245_c0_g1_i1.p2	K03495
TRINITY_DN21220_c0_g5_i1.p4	K03511
TRINITY_DN195_c3_g1_i1.p6	K03521
TRINITY_DN536_c2_g8_i1.p1	K03522
TRINITY_DN8056_c0_g2_i1.p2	K03522
TRINITY_DN846_c0_g1_i12.p3	K03526
TRINITY_DN846_c0_g1_i4.p3	K03526
TRINITY_DN1471_c0_g1_i12.p22	K03527
TRINITY_DN156_c8_g2_i1.p2	K03527
TRINITY_DN410_c1_g1_i3.p1	K03531
TRINITY_DN41526_c0_g2_i1.p1	K03531
TRINITY_DN1049_c3_g2_i2.p4	K03541
TRINITY_DN1198_c1_g1_i2.p12	K03544
TRINITY_DN1198_c1_g1_i3.p12	K03544
TRINITY_DN135_c4_g1_i2.p5	K03544
TRINITY_DN135_c4_g1_i3.p12	K03544
TRINITY_DN135_c4_g1_i7.p12	K03544
TRINITY_DN5887_c0_g1_i1.p1	K03544
TRINITY_DN896_c0_g1_i1.p3	K03553
TRINITY_DN896_c0_g1_i2.p10	K03553
TRINITY_DN896_c0_g1_i3.p24	K03553
TRINITY_DN896_c0_g1_i5.p28	K03553
TRINITY_DN896_c0_g1_i6.p12	K03553
TRINITY_DN102_c6_g8_i1.p4	K03593
TRINITY_DN1284_c0_g1_i1.p10	K03593
TRINITY_DN1284_c0_g1_i2.p9	K03593
TRINITY_DN14986_c0_g2_i2.p1	K03593
TRINITY_DN1154_c1_g2_i1.p2	K03596
TRINITY_DN1589_c0_g1_i5.p10	K03609
TRINITY_DN1589_c0_g1_i5.p11	K03609
TRINITY_DN984_c3_g1_i1.p2	K03635
TRINITY_DN984_c3_g1_i2.p2	K03635
TRINITY_DN984_c3_g1_i5.p2	K03635
TRINITY_DN110_c2_g2_i1.p19	K03637
TRINITY_DN27751_c0_g1_i1.p2	K03637
TRINITY_DN102_c7_g1_i1.p2	K03644
TRINITY_DN396_c2_g1_i3.p4	K03671
TRINITY_DN2400_c0_g1_i1.p4	K03686
TRINITY_DN7025_c4_g1_i1.p2	K03695
TRINITY_DN489_c0_g5_i1.p1	K03696
TRINITY_DN634_c6_g1_i8.p6	K03768
TRINITY_DN20297_c0_g1_i4.p2	K03773
TRINITY_DN229_c23_g1_i1.p1	K03781
TRINITY_DN2507_c0_g4_i1.p1	K03781
TRINITY_DN1077_c5_g1_i3.p6	K03798
TRINITY_DN119_c1_g1_i10.p18	K03798
TRINITY_DN4097_c1_g1_i1.p1	K03798
TRINITY_DN54951_c0_g1_i1.p1	K03809
TRINITY_DN551_c0_g2_i2.p6	K03841
TRINITY_DN551_c0_g2_i3.p5	K03841
TRINITY_DN93_c0_g4_i3.p3	K03843
TRINITY_DN536_c3_g1_i1.p9	K03878
TRINITY_DN536_c3_g2_i1.p2	K03879
TRINITY_DN536_c3_g3_i4.p4	K03881
TRINITY_DN1254_c1_g1_i1.p1	K03883
TRINITY_DN723_c1_g1_i14.p6	K03921
TRINITY_DN859_c18_g1_i1.p1	K03934
TRINITY_DN859_c18_g1_i1.p5	K03935
TRINITY_DN1313_c0_g1_i1.p1	K03936
TRINITY_DN1313_c0_g1_i11.p2	K03936
TRINITY_DN1313_c0_g1_i18.p2	K03936
TRINITY_DN859_c18_g1_i1.p7	K03936
TRINITY_DN536_c3_g1_i1.p15	K03940
TRINITY_DN859_c18_g1_i1.p11	K03940
TRINITY_DN27629_c0_g1_i1.p1	K03941
TRINITY_DN536_c3_g5_i1.p4	K03941
TRINITY_DN859_c18_g1_i1.p3	K03942
TRINITY_DN803_c3_g1_i4.p5	K03943
TRINITY_DN365_c13_g1_i1.p1	K03953
TRINITY_DN128_c3_g2_i5.p6	K03977
TRINITY_DN27431_c0_g3_i1.p1	K03977
TRINITY_DN3446_c0_g1_i1.p1	K03977
TRINITY_DN1189_c1_g1_i1.p3	K03979
TRINITY_DN3755_c0_g1_i5.p3	K03979
TRINITY_DN354_c4_g1_i1.p2	K04035
TRINITY_DN1589_c0_g1_i5.p4	K04038
TRINITY_DN1589_c0_g1_i5.p3	K04038
TRINITY_DN79_c4_g2_i1.p1	K04039
TRINITY_DN613_c1_g3_i1.p2	K04043
TRINITY_DN1329_c0_g1_i5.p2	K04077
TRINITY_DN8269_c0_g2_i1.p3	K04077
TRINITY_DN1946_c0_g1_i18.p48	K04078
TRINITY_DN2216_c1_g1_i31.p1	K04079
TRINITY_DN1254_c0_g1_i2.p8	K04450
TRINITY_DN23838_c0_g1_i1.p1	K04485
TRINITY_DN2815_c1_g2_i1.p5	K04485
TRINITY_DN320_c3_g1_i1.p1	K04485
TRINITY_DN3_c0_g2_i5.p4	K04487
TRINITY_DN1129_c0_g1_i13.p6	K04498
TRINITY_DN2681_c0_g1_i1.p6	K04564
TRINITY_DN1705_c1_g4_i1.p1	K04567
TRINITY_DN647_c2_g1_i12.p2	K04567
TRINITY_DN597_c9_g1_i3.p4	K04646
TRINITY_DN698_c0_g1_i19.p24	K04646
TRINITY_DN698_c0_g1_i28.p24	K04646
TRINITY_DN698_c0_g1_i31.p23	K04646
TRINITY_DN698_c0_g1_i31.p1	K04646
TRINITY_DN698_c0_g1_i32.p24	K04646
TRINITY_DN698_c0_g1_i54.p24	K04646
TRINITY_DN698_c0_g1_i61.p24	K04646
TRINITY_DN698_c0_g1_i9.p24	K04646
TRINITY_DN2805_c0_g1_i1.p1	K04712
TRINITY_DN158_c4_g1_i16.p2	K04802
TRINITY_DN158_c4_g1_i2.p2	K04802
TRINITY_DN158_c4_g1_i3.p2	K04802
TRINITY_DN158_c4_g1_i4.p2	K04802
TRINITY_DN590_c0_g1_i6.p3	K05236
TRINITY_DN1747_c1_g2_i1.p19	K05298
TRINITY_DN158_c10_g1_i5.p3	K05356
TRINITY_DN17992_c0_g2_i2.p2	K05539
TRINITY_DN3614_c0_g3_i1.p5	K05539
TRINITY_DN613_c0_g1_i1.p19	K05605
TRINITY_DN541_c0_g6_i1.p2	K05658
TRINITY_DN101_c0_g4_i1.p2	K05662
TRINITY_DN426_c2_g3_i2.p1	K05662
TRINITY_DN292_c1_g3_i11.p2	K05665
TRINITY_DN490_c0_g1_i2.p1	K05863
TRINITY_DN536_c15_g12_i1.p3	K05894
TRINITY_DN7245_c0_g3_i1.p3	K05894
TRINITY_DN2139_c0_g1_i1.p6	K05907
TRINITY_DN35817_c0_g2_i2.p4	K05907
TRINITY_DN227_c6_g3_i1.p6	K06041
TRINITY_DN576_c3_g1_i1.p2	K06067
TRINITY_DN576_c3_g1_i2.p2	K06067
TRINITY_DN32_c1_g1_i17.p26	K06125
TRINITY_DN32_c1_g1_i19.p26	K06125
TRINITY_DN7489_c0_g1_i4.p4	K06125
TRINITY_DN142_c0_g3_i6.p8	K06127
TRINITY_DN986_c2_g1_i3.p4	K06127
TRINITY_DN986_c2_g1_i4.p5	K06127
TRINITY_DN579_c0_g5_i1.p5	K06180
TRINITY_DN1058_c0_g3_i1.p1	K06207
TRINITY_DN2506_c0_g1_i2.p7	K06207
TRINITY_DN2506_c0_g1_i3.p6	K06207
TRINITY_DN2506_c0_g1_i4.p7	K06207
TRINITY_DN2506_c0_g1_i7.p7	K06207
TRINITY_DN2925_c0_g1_i1.p2	K06207
TRINITY_DN38190_c0_g1_i1.p1	K06207
TRINITY_DN613_c1_g5_i1.p1	K06207
TRINITY_DN1528_c4_g1_i1.p1	K06210
TRINITY_DN803_c5_g1_i2.p1	K06215
TRINITY_DN27861_c0_g2_i1.p2	K06442
TRINITY_DN57_c1_g3_i1.p4	K06442
TRINITY_DN1344_c2_g1_i16.p1	K06569
TRINITY_DN395_c2_g3_i3.p9	K06617
TRINITY_DN1118_c1_g1_i19.p28	K06630
TRINITY_DN20_c0_g3_i1.p7	K06911
TRINITY_DN1750_c1_g1_i14.p5	K06927
TRINITY_DN948_c1_g1_i1.p4	K06941
TRINITY_DN3171_c0_g1_i3.p10	K06943
TRINITY_DN120_c12_g1_i2.p6	K07112
TRINITY_DN47_c2_g2_i2.p2	K07151
TRINITY_DN47_c2_g2_i3.p2	K07151
TRINITY_DN58_c0_g1_i3.p7	K07198
TRINITY_DN1582_c0_g2_i1.p3	K07203
TRINITY_DN298_c16_g1_i1.p7	K07204
TRINITY_DN298_c16_g1_i5.p5	K07204
TRINITY_DN11225_c0_g1_i1.p20	K07305
TRINITY_DN11225_c0_g1_i14.p41	K07305
TRINITY_DN11225_c0_g1_i7.p41	K07305
TRINITY_DN397_c0_g1_i5.p2	K07374
TRINITY_DN335_c1_g1_i2.p6	K07375
TRINITY_DN335_c1_g1_i28.p1	K07375
TRINITY_DN335_c1_g1_i30.p6	K07375
TRINITY_DN335_c1_g1_i62.p2	K07375
TRINITY_DN914_c0_g2_i2.p2	K07375
TRINITY_DN914_c0_g2_i3.p6	K07375
TRINITY_DN914_c0_g2_i4.p2	K07375
TRINITY_DN1039_c1_g1_i16.p3	K07513
TRINITY_DN12407_c0_g2_i1.p4	K07513
TRINITY_DN4866_c0_g1_i3.p5	K07513
TRINITY_DN660_c4_g2_i1.p4	K07513
TRINITY_DN1105_c1_g1_i8.p8	K07562
TRINITY_DN298_c18_g1_i2.p4	K07566
TRINITY_DN11023_c0_g1_i1.p1	K07588
TRINITY_DN2592_c0_g2_i2.p7	K07588
TRINITY_DN386_c0_g1_i1.p10	K07739
TRINITY_DN386_c0_g1_i2.p11	K07739
TRINITY_DN409_c2_g1_i6.p2	K07748
TRINITY_DN8640_c0_g1_i3.p4	K07755
TRINITY_DN122_c0_g2_i3.p29	K07760
TRINITY_DN25562_c0_g1_i1.p1	K07904
TRINITY_DN385_c7_g1_i1.p2	K07904
TRINITY_DN1870_c1_g1_i3.p5	K07936
TRINITY_DN1960_c0_g2_i2.p15	K07937
TRINITY_DN800_c4_g1_i3.p4	K07937
TRINITY_DN565_c1_g1_i1.p21	K08081
TRINITY_DN260_c2_g1_i7.p3	K08193
TRINITY_DN614_c0_g1_i1.p2	K08193
TRINITY_DN614_c0_g1_i2.p2	K08193
TRINITY_DN413_c1_g1_i3.p8	K08244
TRINITY_DN2725_c0_g1_i16.p5	K08341
TRINITY_DN304_c3_g4_i1.p4	K08493
TRINITY_DN163_c0_g1_i21.p1	K08568
TRINITY_DN135_c0_g1_i1.p1	K08675
TRINITY_DN5534_c0_g5_i1.p1	K08675
TRINITY_DN54_c12_g2_i1.p14	K08678
TRINITY_DN2516_c0_g2_i1.p4	K08679
TRINITY_DN5909_c0_g2_i1.p1	K08679
TRINITY_DN7403_c0_g1_i1.p2	K08679
TRINITY_DN13709_c0_g5_i1.p1	K08736
TRINITY_DN2123_c0_g1_i7.p2	K08737
TRINITY_DN409_c1_g2_i1.p8	K08818
TRINITY_DN409_c1_g2_i3.p16	K08818
TRINITY_DN409_c1_g2_i4.p14	K08818
TRINITY_DN409_c1_g2_i5.p15	K08818
TRINITY_DN2952_c5_g1_i1.p5	K08827
TRINITY_DN441_c4_g3_i1.p13	K08829
TRINITY_DN441_c4_g3_i2.p12	K08829
TRINITY_DN1403_c0_g1_i22.p5	K08832
TRINITY_DN1403_c0_g1_i26.p5	K08832
TRINITY_DN1326_c5_g1_i2.p4	K08867
TRINITY_DN43562_c0_g3_i1.p1	K08869
TRINITY_DN280_c1_g1_i10.p4	K08902
TRINITY_DN3194_c0_g3_i1.p2	K08905
TRINITY_DN2147_c0_g1_i1.p2	K08907
TRINITY_DN2147_c0_g1_i38.p2	K08907
TRINITY_DN298_c6_g1_i4.p4	K08908
TRINITY_DN222_c4_g1_i27.p2	K08912
TRINITY_DN58088_c0_g1_i2.p1	K08913
TRINITY_DN758_c0_g2_i4.p3	K08913
TRINITY_DN241_c4_g1_i6.p2	K08916
TRINITY_DN119_c1_g5_i1.p2	K08955
TRINITY_DN893_c0_g4_i1.p5	K08963
TRINITY_DN3198_c2_g2_i1.p3	K08967
TRINITY_DN1232_c1_g1_i11.p2	K08994
TRINITY_DN1232_c1_g1_i30.p1	K08994
TRINITY_DN18707_c0_g3_i1.p1	K09458
TRINITY_DN32350_c0_g1_i1.p1	K09458
TRINITY_DN400_c1_g1_i1.p2	K09458
TRINITY_DN637_c3_g1_i1.p3	K09458
TRINITY_DN689_c0_g1_i2.p11	K09480
TRINITY_DN472_c4_g2_i1.p3	K09493
TRINITY_DN445_c5_g2_i18.p5	K09494
TRINITY_DN844_c7_g1_i3.p14	K09494
TRINITY_DN216_c3_g3_i1.p3	K09496
TRINITY_DN258_c4_g2_i1.p5	K09497
TRINITY_DN258_c4_g2_i3.p5	K09497
TRINITY_DN258_c4_g2_i4.p4	K09497
TRINITY_DN137_c15_g1_i2.p4	K09498
TRINITY_DN1705_c1_g3_i3.p8	K09503
TRINITY_DN1705_c1_g3_i4.p5	K09503
TRINITY_DN613_c1_g3_i1.p6	K09503
TRINITY_DN8680_c0_g1_i1.p2	K09510
TRINITY_DN544_c0_g1_i107.p2	K09540
TRINITY_DN544_c0_g1_i12.p4	K09540
